TRACTID,LONGITUDE,LATITUDE
2,-79.42728666,43.87819313
12,-79.419116,43.84193031
26,-79.39477309,43.89151585
27,-79.39927716,43.88403805
28,-79.41067965,43.88293091
32,-79.4572829,43.90082624
48,-79.45590017,43.89158087
95,-79.48786229,44.02640166
108,-79.48932435,44.03769299
117,-79.6954273,43.56241774
126,-79.78059164,43.57570145
127,-79.62161811,43.58080749
128,-79.6298581,43.57350932
130,-79.09096793,43.83445911
132,-79.07197365,43.84344261
135,-79.44949228,44.03422992
136,-79.42616405,44.03992726
137,-79.78962089,43.69462564
138,-79.77592785,43.68529018
139,-79.75983744,43.74252764
140,-79.75362093,43.74642852
141,-79.72424288,43.87919127
142,-79.71031266,43.86468885
143,-79.83810836,43.79643098
144,-79.90244535,43.73788175
145,-79.70674377,43.56885561
160,-79.46825351,43.94494383
166,-79.47051899,43.95463758
167,-79.44444974,43.95456427
170,-79.66599318,43.62517883
171,-79.6284325,43.63979344
172,-79.63297227,43.72180413
173,-79.62912018,43.71862912
177,-79.70231018,43.61614555
178,-79.71485171,43.60653333
193,-79.49230804,44.04671017
205,-79.51563887,43.84526215
208,-79.5547875,43.79295268
282,-79.55079357,43.80056513
285,-79.51220975,43.80715393
295,-79.48792561,43.83581302
453,-79.39143902,43.69745607
499,-79.61108453,43.80648486
500,-79.5927968,43.80490973
506,-79.53409025,43.85803871
536,-79.23026044,43.78153001
538,-79.26838405,43.79914926
539,-79.2539519,43.8040996
552,-79.24815149,43.77770667
642,-79.26020318,43.84826695
643,-79.25933045,43.83837727
644,-79.29788057,43.83950666
670,-79.24322639,43.86282284
682,-79.41579819,43.64207378
684,-79.40721021,43.64322176
685,-79.24669791,43.87209444
702,-79.74086054,43.64503639
703,-79.7661802,43.62461832
726,-79.37119401,43.87565743
728,-79.32879195,43.88581569
736,-79.78974028,43.68084606
737,-79.75684278,43.61322998
738,-79.7281434,43.61859577
739,-79.56500043,43.81507925
740,-79.74801222,43.75140322
744,-79.73461228,43.76261203
745,-79.65491606,43.67093255
747,-79.69099115,43.60396313
748,-79.67711027,43.59339743
769,-79.30247306,43.88727525
775,-79.03123041,43.87385234
776,-79.0454452,43.86904461
808,-79.05890501,43.89446156
882,-79.77547113,43.42199922
891,-79.47542133,43.8401965
898,-79.52133388,43.71189584
900,-79.48495713,43.71454323
901,-79.47541725,43.71689843
902,-79.45878529,43.72038939
939,-79.87106917,43.63840681
946,-79.47888192,43.70293609
949,-79.54154666,43.70145572
951,-79.22088372,43.73649842
952,-79.22731761,43.72780105
953,-79.16368083,43.76805029
954,-79.5565383,44.12146346
956,-79.26551719,43.69194212
957,-79.30683946,43.76211262
958,-79.31310854,43.758454
962,-79.38515174,43.63895185
963,-79.73129242,43.5549196
975,-79.22368337,43.76914886
976,-79.23521397,43.762079
980,-79.65188082,43.51459892
981,-79.63731026,43.52185819
983,-79.59762174,43.55934192
984,-79.58759006,43.56737158
990,-79.46216873,43.83720441
991,-79.77304057,44.07486644
993,-79.60616294,43.60418015
994,-79.60331286,43.61501219
1001,-79.43060636,43.98820162
1003,-79.71018769,43.80718033
1004,-79.44594532,43.73771639
1005,-79.46589139,43.73139751
1007,-79.57999648,43.57481816
1009,-79.57873746,43.60181728
1012,-79.42869193,43.74759785
1013,-79.40080771,43.76096275
1015,-79.65930239,43.55449
1016,-79.65012894,43.55748178
1017,-79.66046037,43.56394961
1019,-79.57303153,43.82720631
1020,-79.53726386,43.74183667
1023,-79.43017258,43.78040574
1024,-79.42773545,43.78827735
1026,-79.52006879,43.72683645
1027,-79.53574723,43.72355705
1029,-79.49017495,43.73796883
1030,-79.34618066,43.78198617
1033,-79.23762339,43.71195943
1035,-79.44613491,43.76878206
1036,-79.75904016,43.47630837
1037,-79.27848174,43.68276067
1041,-79.45707334,43.67067997
1042,-79.44184088,43.67071459
1043,-79.44780225,43.67435837
1044,-79.454706,43.6792006
1045,-79.44738305,43.68066187
1046,-79.43849339,43.67654546
1047,-79.42952619,43.67799293
1048,-79.42842176,43.67304022
1049,-79.42020687,43.6780554
1050,-79.406118,43.67721965
1055,-79.24275938,43.72412908
1056,-79.25759422,43.70667906
1059,-79.78754231,43.57954905
1062,-79.28773866,43.70495603
1064,-79.27324885,43.706777
1065,-79.26363539,43.71113592
1066,-79.27181304,43.92590747
1080,-79.39692572,43.68527184
1081,-79.39960754,43.69169278
1082,-79.397198,43.69442325
1083,-79.39033822,43.68673979
1084,-79.38101099,43.68991566
1085,-79.3827759,43.69816464
1086,-79.38254693,43.70674263
1089,-79.43293888,43.70315414
1090,-79.42150755,43.70576104
1091,-79.41336551,43.70702411
1092,-79.68780727,43.71129667
1093,-79.69595975,43.6997593
1097,-79.76044934,43.68572396
1105,-79.65749653,43.4690036
1106,-79.67109254,43.45722116
1107,-79.68009458,43.44773
1108,-79.66551537,43.4472634
1109,-79.33538298,43.6472431
1110,-79.38167344,43.62313687
1116,-79.72463717,43.40929434
1119,-79.41808801,43.64719141
1120,-79.42636391,43.64539883
1121,-79.43017278,43.65119984
1122,-79.43492979,43.64749689
1124,-79.44481865,43.64259258
1125,-79.45109932,43.64224794
1127,-79.46108973,43.66464064
1128,-79.46788624,43.66410823
1131,-79.36641465,43.9075304
1133,-79.40499407,43.65975184
1134,-79.40664602,43.66409493
1135,-79.39742285,43.6632419
1138,-79.67982209,43.43332175
1139,-79.69281232,43.43979291
1140,-79.70675088,43.42799995
1141,-79.70829243,43.4181211
1142,-79.69436366,43.41404195
1143,-79.35964382,43.64943111
1145,-79.47332034,43.82978829
1146,-79.33043029,43.66680143
1147,-79.34993242,43.66273965
1148,-79.36005763,43.65867912
1149,-79.11960279,43.95525247
1150,-79.47343603,43.65672837
1151,-79.4822777,43.65484446
1152,-79.47706052,43.6640309
1153,-79.47241691,43.67137197
1154,-79.46345365,43.67733548
1158,-79.41189173,43.68048558
1159,-79.4059238,43.68522822
1160,-79.39558231,43.68131941
1161,-79.36863303,43.73206566
1163,-79.11724631,43.8911133
1164,-79.35623057,43.67411267
1165,-79.34758022,43.67514175
1167,-79.33401862,43.67124768
1168,-79.32443171,43.6743058
1169,-79.32695052,43.67945458
1170,-79.3176272,43.68225088
1172,-79.0303892,43.84640522
1173,-79.02411441,43.85723829
1174,-79.32875204,43.68422185
1175,-79.33938749,43.68202904
1176,-79.35019921,43.68069466
1177,-79.35884348,43.67898889
1178,-79.40465687,43.70908246
1180,-79.39026508,43.71375155
1181,-79.3952956,43.72210948
1182,-79.41655492,43.71413214
1192,-79.4507666,43.63526687
1193,-79.43979229,43.63746251
1194,-79.43049796,43.63991158
1195,-79.4333304,43.63591096
1197,-79.41862843,43.64319929
1198,-79.40277358,43.70135296
1199,-79.41038324,43.69593689
1200,-79.41888918,43.6941738
1201,-79.3663012,43.74372806
1202,-79.34865631,43.74479399
1217,-79.45451113,43.65056685
1218,-79.44811197,43.65093899
1220,-79.39461346,43.64584448
1221,-79.3821473,43.64858635
1222,-79.37538107,43.65058752
1223,-79.36388372,43.65375169
1224,-79.37757538,43.66925535
1225,-79.37308869,43.66527119
1226,-79.36510432,43.67041079
1227,-79.3622438,43.66523297
1228,-79.35059921,43.6692191
1237,-79.34629532,43.65824154
1238,-79.33475745,43.66082419
1239,-79.3156067,43.66396441
1245,-79.42652359,43.6853577
1246,-79.36113749,43.66190239
1247,-79.37138813,43.66085145
1248,-79.369522,43.65654476
1249,-79.38495209,43.65610867
1250,-79.39246895,43.65183945
1251,-79.39429612,43.65636901
1252,-79.40279171,43.65476441
1253,-79.44196376,43.65441589
1254,-79.43278547,43.65640866
1255,-79.42604582,43.65779549
1256,-79.42071074,43.65885745
1257,-79.41431362,43.66251216
1258,-79.4126519,43.65817513
1261,-79.53433584,43.65656559
1264,-79.52740077,43.66830043
1265,-79.37841477,43.7216812
1266,-79.39184577,43.73860923
1267,-79.27514173,43.74608743
1268,-79.29364618,43.66935982
1269,-79.28658263,43.67643053
1270,-79.29509687,43.67558048
1271,-79.30469842,43.67223447
1272,-79.31374331,43.67138075
1273,-79.3225441,43.66733723
1274,-79.50659323,43.60552943
1275,-79.31515313,43.67731897
1276,-79.30476985,43.68053172
1277,-79.29250267,43.68396432
1278,-79.40114449,43.65010801
1279,-79.40873575,43.64899314
1280,-79.41079259,43.65357418
1281,-79.42011731,43.65220981
1282,-79.50188478,43.62809681
1283,-79.37370283,43.68376627
1284,-79.37842291,43.67713535
1285,-79.38396137,43.67255479
1286,-79.39206716,43.67185164
1287,-79.31244298,43.72072399
1290,-79.63071862,43.86343359
1291,-79.25846659,43.72197771
1293,-79.27945938,43.72103915
1294,-79.29179395,43.71831148
1295,-79.30364138,43.73394933
1297,-79.24627467,43.75025593
1299,-79.22916323,43.751981
1301,-79.39734926,43.73093823
1302,-79.49290273,43.65439584
1304,-79.31915068,43.68625954
1308,-79.39274497,43.67683426
1310,-79.40927508,43.67030764
1311,-79.41654154,43.66875362
1312,-79.52647507,43.69650939
1313,-79.41329581,43.7417345
1315,-79.42293525,43.71601639
1316,-79.43511029,43.71256243
1325,-79.38740584,43.6419716
1326,-79.50122732,43.66254141
1327,-79.48861387,43.66305944
1328,-79.49120133,43.66888814
1329,-79.31312413,43.71211847
1330,-79.32604617,43.70614283
1332,-79.49061363,43.61747577
1333,-79.49302181,43.60905891
1334,-79.49766532,43.60827412
1336,-79.18871967,43.77317981
1337,-79.50384168,43.67430953
1338,-79.48007539,43.67739475
1339,-79.86454569,43.53501045
1340,-79.49129049,43.68442019
1341,-79.47722178,43.68547071
1342,-79.26491083,43.76548832
1344,-79.29749028,43.75548472
1345,-79.42835056,43.69590111
1346,-79.44001705,43.6944728
1347,-79.45875992,43.69766567
1348,-79.4703151,43.69498162
1349,-79.48377953,43.69236677
1350,-79.49588752,43.68901306
1352,-79.36443579,43.69385561
1353,-79.33591238,43.6972514
1354,-79.32389965,43.69798591
1355,-79.30749035,43.70113096
1356,-79.30356333,43.71081316
1357,-79.50473953,43.59790016
1358,-79.51511517,43.59388995
1359,-79.51858682,43.60154315
1360,-79.541056,43.66980446
1361,-79.55313468,43.66712989
1362,-79.56522712,43.66449963
1365,-79.56798657,43.83141584
1367,-79.45898368,43.68767666
1368,-79.45178913,43.6893674
1369,-79.44435341,43.69032096
1370,-79.44067867,43.68296774
1371,-79.434704,43.68562765
1372,-79.80880295,43.68074864
1373,-79.49809677,43.619028
1374,-79.53706777,43.60658791
1375,-79.5060252,43.6893358
1376,-79.51258647,43.70534908
1377,-79.29689824,43.69301292
1379,-79.32108019,43.69162016
1380,-79.60378762,43.58432783
1381,-79.4976618,43.63972122
1382,-79.48616284,43.63678807
1383,-79.50935017,43.64425552
1384,-79.51853381,43.65173045
1385,-79.50873976,43.65120868
1386,-79.50249749,43.65569579
1387,-79.5112632,43.65649869
1389,-79.29118897,43.73663475
1391,-79.18881573,43.75185979
1393,-79.5865091,44.11629271
1396,-79.55023302,43.60177852
1397,-79.52439834,43.63126753
1398,-79.47073879,43.74356186
1400,-79.51486478,43.6379857
1401,-79.56806313,43.63043789
1404,-79.51548799,43.69232494
1405,-79.5635554,43.71917132
1406,-79.56975236,43.72975157
1408,-79.56959412,43.85254178
1409,-79.70817945,43.55179922
1410,-79.72285799,43.53923222
1411,-79.79539798,43.58953647
1436,-79.27708906,43.95765264
1494,-79.3704752,43.78305846
1495,-79.35077338,43.77653281
1496,-79.01795103,43.9056087
1497,-79.49433127,43.7571282
1498,-79.50317205,43.7541791
1505,-79.83172668,43.69949828
1515,-79.42385989,43.6672501
1516,-79.42932226,43.66607976
1518,-79.45149847,43.66284454
1519,-79.45703719,43.65888822
1604,-79.76830692,43.76928881
1609,-79.75750369,43.76657615
1610,-79.70000738,43.77538977
1612,-79.68931646,43.76458498
1613,-79.77608096,43.76084529
1643,-79.74191074,43.56320369
1644,-79.40673348,43.77119654
1646,-79.75176962,43.55505126
1647,-79.71721846,43.56216319
1648,-79.72290923,43.5575
1649,-79.63336264,43.58983829
1650,-79.63847082,43.58684938
1651,-79.63653197,43.61546145
1652,-79.6447507,43.60862077
1653,-79.70450078,43.59921667
1659,-79.27486685,43.97483227
1702,-79.7300303,43.70783615
1710,-79.37762327,43.65642788
1715,-79.76842192,43.66627358
1716,-79.77317811,43.66249099
1717,-79.79524579,43.68998879
1721,-79.80585768,43.72388994
1722,-79.81368528,43.71647708
1731,-79.81227922,43.69278893
1735,-79.42218036,43.75892188
1738,-79.41276431,43.76346171
1752,-79.67964867,43.74347509
1753,-79.82628731,43.68994942
1754,-79.82025943,43.68242549
